Element,Wavelength,Intensity,Strength,On,Reference
Ne I,23951.4,110,,True,SS04
Ne I,23956.43,50,,True,SS04
Ne I,23978.16,60,,True,SS04
Ne I,24098.57,11,,True,SS04
Ne I,24161.43,20,,True,SS04
Ne I,24249.61,30,,True,SS04
Ne I,24365.01,70,,True,SS04
Ne I,24371.61,40,,True,SS04
Ne I,24447.86,20,,True,SS04
Ne I,24459.39,30,,True,SS04
Ne I,24776.49,17,,True,SS04
Ne I,24928.89,30,,True,SS04
Ne I,25161.7,13,,True,SS04
Ne I,25524.33,50,,True,SS04
Ne I,28386.2,6,,True,SS04
Ne I,30200.49,6,,True,SS04
Ne I,33173.09,8,,True,SS04
Ne I,33352.38,17,,True,SS04
Ne I,33899.81,5,,True,SS04
Ne I,33903.02,4,,True,SS04
Ne I,33913.1,12,,True,SS04
Ne I,34131.34,4,,True,SS04
Ne I,34471.43,6,,True,SS04
Ne I,35834.81,8,,True,SS04
Fe I,2178.0808,30,,True,NJLT94
Fe I,2259.5103,30,,True,NJLT94
Fe I,2292.5249,30,,True,NJLT94
Fe I,2298.1689,60,,True,NJLT94
Fe I,2300.1418,30,,True,NJLT94
Fe II,2327.3958,60,,True,NLTH91
Fe II,2331.3084,60,,True,NLTH91
Fe II,2332.799,200,,True,NLTH91
Fe II,2338.0065,120,,True,NLTH91
Fe II,2343.4951,400,P,True,NLTH91
Fe II,2343.961,50,,True,NLTH91
Fe II,2344.2816,90,,True,NLTH91
Fe II,2348.1159,120,,True,NLTH91
Fe II,2348.3025,150,,True,NLTH91
Fe II,2359.1322,120,,True,NLTH91
Fe II,2359.9997,90,,True,NLTH91
Fe II,2360.2945,70,,True,NLTH91
Fe II,2363.8612,40,,True,NLTH91
Fe II,2364.8281,120,,True,NLTH91
Fe II,2365.7654,50,,True,NLTH91
Fe II,2368.5964,50,,True,NLTH91
Fe II,2369.9534,50,,True,NLTH91
Fe I,2373.6245,40,,True,NJLT94
Fe II,2373.7357,60,,True,NLTH91
Fe II,2375.194,40,,True,NLTH91
Fe II,2376.4294,70,,True,NLTH91
Fe II,2379.2765,50,,True,NLTH91
Fe II,2380.7616,70,,True,NLTH91
Fe II,2382.0376,1000,P,True,NLTH91
Fe II,2383.2452,40,,True,NLTH91
Fe II,2388.6289,200,,True,NLTH91
Fe II,2395.6254,700,P,True,NLTH91
Fe II,2399.2413,200,,True,NLTH91
Fe II,2404.8858,500,P,True,NLTH91
Fe II,2406.6612,150,,True,NLTH91
Fe II,2406.9761,50,,True,NLTH91
Fe II,2410.5192,200,,True,NLTH91
Fe II,2411.0677,120,,True,NLTH91
Fe II,2413.3104,90,,True,NLTH91
Fe II,2417.8707,50,,True,NLTH91
Fe II,2422.6882,40,,True,NLTH91
Fe II,2424.1456,90,,True,NLTH91
Fe II,2428.3638,70,,True,NLTH91
Fe II,2430.0783,70,,True,NLTH91
Fe II,2432.2612,50,,True,NLTH91
Fe II,2432.8732,40,,True,NLTH91
Fe II,2439.3014,90,,True,NLTH91
Fe II,2443.71,40,,True,NLTH91
Fe II,2444.5154,60,,True,NLTH91
Fe II,2445.5732,60,,True,NLTH91
Fe I,2457.5891,150,,True,NJLT94
Fe II,2458.7838,90,,True,NLTH91
Fe II,2460.4404,40,,True,NLTH91
Fe II,2461.2835,50,,True,NLTH91
Fe II,2461.861,60,,True,NLTH91
Fe I,2462.6472,150,,True,NJLT94
Fe I,2465.1492,80,,True,NJLT94
Fe II,2466.6713,40,,True,NLTH91
Fe II,2466.8194,40,,True,NLTH91
Fe I,2468.8799,60,,True,NJLT94
Fe II,2469.5147,40,,True,NLTH91
Fe II,2470.6694,50,,True,NLTH91
Fe I,2472.332,80,,True,NJLT94
Fe I,2472.8713,100,,True,NJLT94
Fe I,2474.8145,60,,True,NJLT94
Fe II,2478.5722,40,,True,NLTH91
Fe I,2479.7764,120,,True,NJLT94
Fe II,2480.1577,60,,True,NLTH91
Fe II,2482.1172,50,,True,NLTH91
Fe II,2482.6577,60,,True,NLTH91
Fe I,2483.2708,1000,P,True,NJLT94
Fe I,2483.5334,30,,True,NJLT94
Fe I,2484.1875,100,,True,NJLT94
Fe II,2484.2446,40,,True,NLTH91
Fe I,2486.3728,80,,True,NJLT94
Fe I,2488.1426,600,P,True,NJLT94
Fe II,2489.4833,50,,True,NLTH91
Fe I,2489.7524,100,,True,NJLT94
Fe I,2490.6443,500,P,True,NJLT94
Fe II,2490.8584,40,,True,NLTH91
Fe I,2491.155,200,,True,NJLT94
Fe II,2491.3965,60,,True,NLTH91
Fe II,2493.1846,60,,True,NLTH91
Fe II,2493.2637,300,P,True,NLTH91
Fe I,2496.5337,60,,True,NJLT94
Fe I,2501.1318,100,,True,NJLT94
Fe II,2502.393,40,,True,NLTH91
Fe II,2503.8745,40,,True,NLTH91
Fe II,2506.0935,50,,True,NLTH91
Fe I,2507.9004,50,,True,NJLT94
Fe I,2510.835,100,,True,NJLT94
Fe II,2511.7603,70,,True,NLTH91
Fe I,2512.365,40,,True,NJLT94
Fe I,2517.6611,30,,True,NJLT94
Fe I,2518.1018,80,,True,NJLT94
Fe II,2519.0472,40,,True,NLTH91
Fe I,2522.8494,400,P,True,NJLT94
Fe I,2524.2925,50,,True,NJLT94
Fe II,2525.3879,120,,True,NLTH91
Fe II,2526.2939,200,,True,NLTH91
Fe I,2527.4351,200,,True,NJLT94
Fe I,2529.135,80,,True,NJLT94
Fe II,2533.6274,70,,True,NLTH91
Fe II,2534.4186,60,,True,NLTH91
Fe II,2535.4856,70,,True,NLTH91
Fe I,2535.6069,40,,True,NJLT94
Fe II,2536.6726,40,,True,NLTH91
Fe II,2536.8,120,,True,C74
Fe II,2538.7987,60,,True,NLTH91
Fe II,2538.9094,60,,True,NLTH91
Fe II,2538.99,90,,True,C74
Fe II,2540.66,120,,True,C74
Fe I,2540.9722,60,,True,NJLT94
Fe II,2541.101,50,,True,NLTH91
Fe II,2541.8358,40,,True,NLTH91
Fe I,2542.1013,30,,True,NJLT94
Fe II,2543.3781,40,,True,NLTH91
Fe I,2545.9785,80,,True,NJLT94
Fe II,2546.6701,50,,True,NLTH91
Fe II,2548.7442,60,,True,NLTH91
Fe II,2549.0833,50,,True,NLTH91
Fe II,2549.3947,50,,True,NLTH91
Fe II,2549.4616,40,,True,NLTH91
Fe I,2549.6133,60,,True,NJLT94
Fe II,2550.0274,40,,True,NLTH91
Fe II,2550.6832,30,,True,NLTH91
Fe II,2562.5356,250,,True,NLTH91
Fe II,2563.4755,120,,True,NLTH91
Fe II,2566.9126,40,,True,NLTH91
Fe II,2574.3662,90,,True,NLTH91
Fe I,2576.6902,30,,True,NJLT94
Fe II,2577.9219,40,,True,NLTH91
Fe II,2582.5832,60,,True,NLTH91
Fe I,2584.5359,150,,True,NJLT94
Fe II,2585.8758,300,P,True,NLTH91
Fe II,2591.5428,60,,True,NLTH91
Fe II,2598.3692,400,P,True,NLTH91
Fe II,2599.3956,700,P,True,NLTH91
Fe I,2599.5669,30,,True,NJLT94
Fe II,2606.5162,200,,True,NLTH91
Fe I,2606.8264,80,,True,NJLT94
Fe II,2607.0871,300,P,True,NLTH91
Fe II,2611.8736,400,P,True,NLTH91
Fe II,2613.8243,200,,True,NLTH91
Fe II,2617.6174,200,,True,NLTH91
Fe II,2620.41,60,,True,D38
Fe I,2623.5339,40,,True,NJLT94
Fe II,2625.6671,120,,True,NLTH91
Fe II,2628.2931,90,,True,NLTH91
Fe II,2631.0471,150,,True,NLTH91
Fe II,2631.3232,150,,True,NLTH91
Fe I,2635.8088,30,,True,NJLT94
Fe II,2664.6638,40,,True,NLTH91
Fe I,2666.8125,30,,True,NJLT94
Fe I,2679.0242,60,,True,NJLT94
Fe II,2684.7536,300,,True,NLTH91
Fe I,2689.2122,40,,True,NJLT94
Fe II,2692.6019,40,,True,NLTH91
Fe II,2703.9891,40,,True,NLTH91
Fe I,2706.582,40,,True,NJLT94
Fe II,2714.4129,50,,True,NLTH91
Fe I,2719.0273,400,P,True,NJLT94
